internal_ID,RA,Dec,S_RF,S_colour,Sep_max,Sep_min,Sep_mean,Grade,Grade_by_LR,NUM_OF_IMG,in_KLQ,in_D22,in_L22,Grade_by_D22,Classification_by_L22,q,phi,rein,minimised_chi2,BIC,NOTE
10838966,204.0630052,3.139390042,0.95,0.81,3.147721882,3.147721882,3.147721882,C,C,2,0,1,0,C,,,,,,,
10840035,324.3219318,2.963555184,0.96,0.77,2.151689545,2.151689545,2.151689545,C,A,2,0,0,0,,,,,,,,
10841955,168.448722,2.641461332,0.96,0.81,2.24310633,2.24310633,2.24310633,C,B,2,0,0,0,,,,,,,,
10842676,307.1124658,2.528284957,0.89,0.69,3.59768138,3.59768138,3.59768138,C,C,2,0,0,0,,,,,,,,
10843504,358.3686909,2.4017864,0.95,0.61,1.533869274,1.533869274,1.533869274,C,C,2,0,0,0,,,,,,,,
10843816,28.78702855,2.3667513,0.97,0.81,1.418358384,1.418358384,1.418358384,B,B,2,0,0,0,,,,,,,,
10844276,314.4671739,2.29612602,0.94,0.59,1.160046034,1.160046034,1.160046034,A,B,2,0,1,1,B,NIQ,,,,,,
10845674,0.684707168,2.134481251,0.93,0.8,1.772140164,1.772140164,1.772140164,B,C,2,0,0,0,,,,,,,,
10912799,320.3847626,-8.436016,0.93,0.7,1.335954462,1.335954462,1.335954462,B,B,2,0,0,0,,,,,,,,
10912915,336.8091908,-8.457386639,0.91,0.81,1.267377021,1.267377021,1.267377021,C,C,2,0,0,0,,,,,,,,
10913114,30.51552306,-8.500386835,0.97,0.84,2.498835922,2.498835922,2.498835922,C,C,2,0,0,0,,,,,,,,
10916098,70.04824127,-9.091177713,0.98,0.82,1.688514232,1.688514232,1.688514232,A,A,2,0,1,1,A,lens,,,,,,
10918628,204.7909501,-9.728658772,0.97,0.9,2.706894291,2.706894291,2.706894291,C,A,2,0,0,0,,,,,,,,
10919637,40.68862603,-10.04922033,0.98,0.77,2.372954719,2.372954719,2.372954719,A,A,2,0,1,0,C,,,,,,,
10923671,0.400166244,-11.47416797,0.88,0.7,2.746801514,2.746801514,2.746801514,B,C,2,0,0,0,,,,,,,,
10924112,60.5530491,-11.64181348,0.92,0.86,2.208979524,2.208979524,2.208979524,B,A,2,0,1,0,C,,,,,,,
10925552,68.57146771,-12.15403222,0.95,0.78,2.259310736,2.259310736,2.259310736,B,A,2,0,0,0,,,,,,,,
10925694,13.95353264,-12.2028451,0.95,0.56,1.877790677,1.877790677,1.877790677,B,A,2,0,0,0,,,,,,,,
10925915,69.56188488,-12.28716056,0.99,0.73,1.289378747,1.002392606,1.195660081,A,A,2,1,0,0,,,,,,,,
10930010,20.65695866,-13.73958783,0.97,0.64,0.982391529,0.982391529,0.982391529,B,C,2,0,1,0,A,,,,,,,
10930030,343.8433926,-13.74964153,0.91,0.83,3.09884338,3.09884338,3.09884338,C,C,2,0,0,0,,,,,,,,
10933387,49.75488163,-15.31664053,0.96,0.72,1.342893419,1.342893419,1.342893419,C,C,2,0,0,0,,,,,,,,
10935698,64.81884571,-17.72497604,0.95,0.74,2.035559853,2.035559853,2.035559853,C,A,2,0,0,0,,,,,,,,
10936793,41.5510335,-18.75129473,0.99,0.85,0.500527203,0.500527202,0.500527202,A,A,2,1,0,0,,,,,,,,
10939420,85.7388455,-21.42608655,0.97,0.73,2.456644438,2.456644438,2.456644438,C,A,2,0,1,0,B,,,,,,,
10939816,72.80569439,-21.79652084,0.9,0.74,1.782804734,1.782804734,1.782804734,A,A,2,0,0,0,,,,,,,,
10941564,12.27177894,-23.40948816,0.93,0.77,1.928102116,1.928102116,1.928102116,B,A,2,0,1,0,C,,,,,,,
10941568,45.03716975,-23.41110518,0.9,0.84,2.181416055,2.181416055,2.181416055,B,C,2,0,0,0,,,,,,,,
10943413,51.65483549,-25.07397896,0.95,0.76,2.012125653,2.012125653,2.012125653,C,A,2,0,0,0,,,,,,,,
10944064,76.55618687,-25.51347455,0.98,0.84,3.6802483,3.6802483,3.6802483,B,A,2,0,1,0,B,,,,,,,
10944084,88.63649298,-25.54174824,0.91,0.72,2.280178937,2.280178937,2.280178937,B,C,2,0,0,0,,,,,,,,
10944342,48.40914035,-25.77525602,0.95,0.9,2.204414015,2.204414015,2.204414015,A,A,2,0,1,0,B,,,,,,,
